TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_30JULY2016.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
16-08-02 12:30,527,1.517,926,0,,,
16-08-02 13:00,528,1.508,926,0,,,
16-08-02 13:30,529,1.496,925,0,,,
16-08-02 14:00,530,1.509,925,0,,,
16-08-02 14:30,531,1.498,925,0,,,
16-08-02 15:00,532,1.505,925,0,,,
16-08-02 15:30,533,1.51,925,0,,,
16-08-02 16:00,534,1.516,924,0,,,
16-08-02 16:30,535,1.503,924,0,,,
16-08-02 17:00,536,1.503,924,0,,,
16-08-02 17:30,537,1.507,924,0,,,
16-08-02 18:00,538,1.511,924,0,,,
16-08-02 18:30,539,1.512,924,0,,,
16-08-02 19:00,540,1.508,923,0,,,
16-08-02 19:30,541,1.506,923,0,,,
16-08-02 20:00,542,1.511,923,0,,,
16-08-02 20:30,543,1.513,923,0,,,
16-08-02 21:00,544,1.519,923,0,,,
16-08-02 21:30,545,1.52,923,0,,,
16-08-02 22:00,546,1.527,924,0,,,
16-08-02 22:30,547,1.526,924,0,,,
16-08-02 23:00,548,1.527,924,0,,,
16-08-02 23:30,549,1.53,924,0,,,
16-08-03 0:00,550,1.524,924,0,,,
16-08-03 0:30,551,1.53,924,0,,,
16-08-03 1:00,552,1.531,924,0,,,
16-08-03 1:30,553,1.538,924,0,,,
16-08-03 2:00,554,1.537,924,0,,,
16-08-03 2:30,555,1.545,924,0,,,
16-08-03 3:00,556,1.542,925,0,,,
16-08-03 3:30,557,1.537,925,0,,,
16-08-03 4:00,558,1.542,925,0,,,
16-08-03 4:30,559,1.54,925,0,,,
16-08-03 5:00,560,1.541,925,0,,,
16-08-03 5:30,561,1.541,925,0,,,
16-08-03 6:00,562,1.542,925,0,,,
16-08-03 6:30,563,1.54,925,0,,,
16-08-03 7:00,564,1.538,925,0,,,
16-08-03 7:30,565,1.537,926,0,,,
16-08-03 8:00,566,1.535,926,0,,,
16-08-03 8:30,567,1.534,926,0,,,
16-08-03 9:00,568,1.533,926,0,,,
16-08-03 9:30,569,1.535,926,0,,,
16-08-03 10:00,570,1.534,927,0,,,
16-08-03 10:30,571,1.533,927,0,,,
16-08-03 11:00,572,1.527,927,0,,,
16-08-03 11:30,573,1.532,927,0,,,
16-08-03 12:00,574,1.519,927,0,,,
16-08-03 12:30,575,1.53,928,0,,,
16-08-03 13:00,576,1.528,928,0,,,
