dtime,dtime,abs_pressure,temp_water,baro_pressure,water_level,end_elv,surf,melt_ice,bed_elv,ice_thick,wl_elv_flat,surf_flat,float_elv,lake_elv,float,sensr_elv_float,wl_elv_float,surf_float,wl_elv_gps1,surf_gps1,wl_elv_int,surf_int
2017-07-10 13:50:00,2017-07-10 13:50:00,226.796,0.01,,14.610999999999999,1606.88,1615.72,0.6704883871081089,1395.68,223.16851161289173,1621.4910000000002,1618.848511612892,1598.7633455677314,1599.0106942699394,True,1607.127348702208,1621.7383487022082,1619.0958603151,1622.7788565128876,1620.1363681257794,1621.7383487022082,1619.0958603151
2017-07-10 14:00:00,2017-07-10 14:00:00,226.828,0.01,83.4,14.628,1606.88,1615.72,0.6707461989555792,1395.68,223.16825380104433,1621.508,1618.8482538010444,1598.7631109589504,1599.0288934220132,True,1607.145782463063,1621.7737824630628,1619.1140362641072,1622.7957988739984,1620.1360526750427,1621.7737824630628,1619.1140362641072
2017-07-10 14:10:00,2017-07-10 14:10:00,226.828,0.01,,14.628,1606.88,1615.72,0.6709895877626317,1395.68,223.1680104122372,1621.508,1618.8480104122375,1598.762889475136,1599.0324394649506,True,1607.149549989815,1621.7775499898148,1619.1175604020523,1622.7957454480722,1620.1357558603097,1621.7775499898148,1619.1175604020523
2017-07-10 14:20:00,2017-07-10 14:20:00,226.796,0.01,,14.625,1606.88,1615.72,0.6712329765696842,1395.68,223.16776702343032,1621.505,1618.8477670234304,1598.7626679913217,1599.0351018901408,True,1607.1524338988193,1621.7774338988193,1619.1202009222495,1622.7927130638132,1620.1354800872434,1621.7774338988193,1619.1202009222495
2017-07-10 14:30:00,2017-07-10 14:30:00,226.828,0.01,83.4,14.628,1606.88,1615.72,0.6714889855371021,1395.68,223.1675110144629,1621.508,1618.847511014463,1598.7624350231613,1599.039150255185,True,1607.1567152320238,1621.7847152320237,1619.1242262464866,1622.7956956101093,1620.1352066245722,1621.7847152320237,1619.1242262464866
2017-07-10 14:40:00,2017-07-10 14:40:00,226.828,0.01,,14.625,1606.88,1615.72,0.6717251628239458,1395.68,223.1672748371759,1621.505,1618.847274837176,1598.76222010183,1599.0387721878878,True,1607.156552086058,1621.781552086058,1619.1238269232338,1622.7926907952947,1620.1349656324705,1621.781552086058,1619.1238269232338
2017-07-10 14:50:00,2017-07-10 14:50:00,226.828,0.01,,14.620999999999999,1606.88,1615.72,0.671952325710528,1395.68,223.1670476742895,1621.5010000000002,1618.8470476742896,1598.7620133836035,1599.0383941205407,True,1607.1563807369373,1621.7773807369374,1619.1234284112268,1622.788676466591,1620.1347241408803,1621.7773807369374,1619.1234284112268
2017-07-10 15:00:00,2017-07-10 15:00:00,226.86,0.01,83.5,14.620999999999999,1606.88,1615.72,0.6722245605984163,1395.68,223.1667754394016,1621.5010000000002,1618.8467754394017,1598.7617656498555,1599.040009678862,True,1607.1582440290065,1621.7792440290066,1619.125019468408,1622.7886647974385,1620.13444023684,1621.7792440290066,1619.125019468408
2017-07-10 15:10:00,2017-07-10 15:10:00,226.828,0.01,,14.620999999999999,1606.88,1615.72,0.6724679494054688,1395.68,223.16653205059447,1621.5010000000002,1618.8465320505945,1598.761544166041,1599.0482451063647,True,1607.1667009403238,1621.787700940324,1619.1332329909183,1622.7886396354015,1620.1341716859959,1621.787700940324,1619.1332329909183
2017-07-10 15:20:00,2017-07-10 15:20:00,226.86,0.01,,14.628,1606.88,1615.72,0.672732972773148,1395.68,223.1662670272267,1621.508,1618.846267027227,1598.7613029947763,1599.0553329518864,True,1607.1740299571102,1621.80202995711,1619.140296984337,1622.7955786168827,1620.1338456441097,1621.80202995711,1619.140296984337
2017-07-10 15:30:00,2017-07-10 15:30:00,226.86,0.01,83.4,14.630999999999998,1606.88,1615.72,0.6730151235013236,1395.68,223.16598487649867,1621.5110000000002,1618.8459848764987,1598.7610462376138,1599.0623776704797,True,1607.1813314328658,1621.812331432866,1619.1473163093644,1622.798530977994,1620.1335158544925,1621.812331432866,1619.1473163093644
2017-07-10 15:40:00,2017-07-10 15:40:00,226.891,0.01,,14.640999999999998,1606.88,1615.72,0.6733135001499694,1395.68,223.16568649984993,1621.5210000000002,1618.84568649985,1598.7607747148636,1599.0727207689051,True,1607.1919460540419,1621.832946054042,1619.1576325538917,1622.8084561631792,1620.133142663029,1621.832946054042,1619.1576325538917
2017-07-10 15:50:00,2017-07-10 15:50:00,226.86,0.01,,14.645,1606.88,1615.72,0.6735956508781452,1395.68,223.1654043491219,1621.525,1618.845404349122,1598.760517957701,1599.0830989788014,True,1607.2025810211005,1621.8475810211005,1619.1679853702224,1622.8124268113274,1620.1328311604493,1621.8475810211005,1619.1679853702224
2017-07-10 16:00:00,2017-07-10 16:00:00,226.891,0.01,83.2,14.655,1606.88,1615.72,0.6738633785659028,1395.68,223.16513662143393,1621.535,1618.8451366214342,1598.760274325505,1599.0946602067822,True,1607.2143858812774,1621.8693858812774,1619.1795225027115,1622.8223686168828,1620.132505238317,1621.8693858812774,1619.1795225027115
2017-07-10 16:10:00,2017-07-10 16:10:00,226.891,0.01,,14.658,1606.88,1615.72,0.6741284019335821,1395.68,223.16487159806638,1621.538,1618.8448715980664,1598.7600331542405,1599.1007933446765,True,1607.220760190436,1621.878760190436,1619.1856317885024,1622.8253937789198,1620.1322653769862,1621.878760190436,1619.1856317885024
2017-07-10 16:20:00,2017-07-10 16:20:00,226.923,0.01,,14.665,1606.88,1615.72,0.6743979325013921,1395.68,223.16460206749866,1621.545,1618.8446020674987,1598.7597878814238,1599.1080577061807,True,1607.228269824757,1621.893269824757,1619.1928718922557,1622.8323503529937,1620.1319524204923,1621.893269824757,1619.1928718922557
2017-07-10 16:30:00,2017-07-10 16:30:00,226.923,0.01,83.1,14.668,1606.88,1615.72,0.6746341097882356,1395.68,223.16436589021168,1621.548,1618.8443658902117,1598.7595729600928,1599.11420996494,True,1607.2346370048474,1621.9026370048473,1619.199002895059,1622.8353468807713,1620.131712770983,1621.9026370048473,1619.199002895059
2017-07-10 16:40:00,2017-07-10 16:40:00,226.923,0.01,,14.672,1606.88,1615.72,0.6748270179538254,1395.68,223.164172982046,1621.5520000000001,1618.8441729820463,1598.7593974136619,1599.1204244572914,True,1607.2410270436296,1621.9130270436297,1619.2052000256758,1622.839310700216,1620.1314836822621,1621.9130270436297,1619.2052000256758
2017-07-10 16:50:00,2017-07-10 16:50:00,226.955,0.01,,14.677999999999999,1606.88,1615.72,0.6750388563599634,1395.68,223.16396114363988,1621.5580000000002,1618.8439611436402,1598.7592046407124,1599.1266315890612,True,1607.247426948349,1621.925426948349,1619.211388091989,1622.8452689872531,1620.131230130893,1621.925426948349,1619.211388091989
2017-07-10 17:00:00,2017-07-10 17:00:00,226.955,0.01,83.0,14.682,1606.88,1615.72,0.6752461875659712,1395.68,223.16375381243392,1621.5620000000001,1618.843753812434,1598.759015969315,1599.1328628437866,True,1607.2538468744717,1621.9358468744717,1619.2176006869056,1622.8492490566973,1620.1310028691312,1621.9358468744717,1619.2176006869056
2017-07-10 17:10:00,2017-07-10 17:10:00,226.955,0.01,,14.685,1606.88,1615.72,0.6755085066135722,1395.68,223.16349149338635,1621.565,1618.8434914933864,1598.7587772589816,1599.1382630119238,True,1607.2594857529423,1621.9444857529422,1619.2229772463286,1622.852287598364,1620.1307790917504,1621.9444857529422,1619.2229772463286
